sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp86_sensor15,1474618643049,1474618701614,38,0,2445.684210526316,NaN
exp86_sensor16,1474618643054,1474618702815,41,1,2288.6585365853657,2192.0
exp86_sensor13,1474618643007,1474618701386,42,0,2184.6190476190477,NaN
exp86_sensor14,1474618643010,1474618701189,42,0,2192.7380952380954,NaN
exp86_sensor19,1474618643144,1474618701677,41,1,2246.6585365853657,1512.0
exp86_sensor17,1474618643089,1474618701189,38,2,2316.5263157894738,2097.0
exp86_sensor18,1474618643099,1474618701447,40,0,2293.925,NaN
exp86_sensor59,1474618644131,1474618702630,42,0,2154.5238095238096,NaN
exp86_sensor58,1474618644105,1474618702646,41,1,2290.560975609756,2984.0
exp86_sensor57,1474618644095,1474618701460,38,0,2406.0526315789475,NaN
exp86_sensor62,1474618644210,1474618701783,39,1,2422.4615384615386,892.0
exp86_sensor63,1474618644233,1474618701721,38,2,2312.1052631578946,1984.0
exp86_sensor60,1474618644185,1474618702850,40,0,2329.25,NaN
exp86_sensor61,1474618644200,1474618704135,39,1,2399.102564102564,2705.0
exp86_sensor66,1474618644304,1474618701711,42,2,2113.0238095238096,2040.0
exp86_sensor67,1474618644314,1474618703716,40,2,2309.7,2169.0
exp86_sensor64,1474618644248,1474618702954,38,2,2290.4473684210525,2466.5
exp86_sensor65,1474618644285,1474618702627,44,0,2127.0,NaN
exp86_sensor23,1474618643281,1474618703050,43,1,2056.6511627906975,3493.0
exp86_sensor22,1474618643263,1474618701385,42,0,2246.3333333333335,NaN
exp86_sensor21,1474618643238,1474618702220,41,1,2316.170731707317,1224.0
exp86_sensor20,1474618643203,1474618702614,42,0,2280.6666666666665,NaN
exp86_sensor24,1474618643321,1474618701557,37,1,2505.6216216216217,2232.0
exp86_sensor25,1474618643350,1474618701672,42,2,2115.285714285714,1088.0
exp86_sensor26,1474618643391,1474618701980,41,1,2238.0243902439024,3430.0
exp86_sensor27,1474618643411,1474618702850,42,0,2202.8333333333335,NaN
exp86_sensor28,1474618643428,1474618702867,40,0,2299.175,NaN
exp86_sensor29,1474618643440,1474618702804,44,0,2157.8636363636365,NaN
exp86_sensor69,1474618644341,1474618703085,43,1,2104.2558139534885,2253.0
exp86_sensor68,1474618644329,1474618701610,41,1,2210.9268292682927,1049.0
exp86_sensor30,1474618643477,1474618700800,39,1,2259.5897435897436,3370.0
exp86_sensor32,1474618643526,1474618702759,37,1,2400.5135135135133,2343.0
exp86_sensor31,1474618643497,1474618701310,41,1,2276.1951219512193,1344.0
exp86_sensor34,1474618643576,1474618700566,39,1,2356.025641025641,2366.0
exp86_sensor70,1474618644358,1474618702219,42,0,2217.285714285714,NaN
exp86_sensor33,1474618643549,1474618702720,39,1,2412.3846153846152,1167.0
exp86_sensor39,1474618643660,1474618702835,42,0,2262.5476190476193,NaN
exp86_sensor38,1474618643635,1474618700931,41,1,2177.243902439024,2217.0
exp86_sensor37,1474618643609,1474618701453,41,1,2168.170731707317,3000.0
exp86_sensor36,1474618643596,1474618702519,40,0,2364.575,NaN
exp86_sensor35,1474618643586,1474618702927,40,2,2258.825,2233.0
exp86_sensor44,1474618643855,1474618702592,40,0,2410.0,NaN
exp86_sensor45,1474618643874,1474618702955,40,2,2199.325,1892.0
exp86_sensor42,1474618643827,1474618700570,39,1,2352.025641025641,2230.0
exp86_sensor43,1474618643849,1474618702552,41,1,2237.9268292682927,2203.0
exp86_sensor40,1474618643780,1474618701459,40,2,2206.325,1738.0
exp86_sensor41,1474618643817,1474618703661,42,0,2175.904761904762,NaN
exp86_sensor47,1474618643916,1474618700795,39,1,2233.4358974358975,3518.0
exp86_sensor46,1474618643890,1474618703786,43,1,2169.953488372093,2801.0
exp86_sensor49,1474618643942,1474618700932,39,1,2289.923076923077,1475.0
exp86_sensor48,1474618643922,1474618702851,42,0,2252.7380952380954,NaN
exp86_sensor53,1474618644007,1474618700803,40,0,2258.8,NaN
exp86_sensor54,1474618644044,1474618702504,42,0,2258.8809523809523,NaN
exp86_sensor55,1474618644048,1474618702816,43,1,2136.093023255814,2779.0
exp86_sensor1,1474618642818,1474618702778,37,1,2636.135135135135,2070.0
exp86_sensor56,1474618644086,1474618702607,41,1,2248.5853658536585,2203.0
exp86_sensor3,1474618643453,1474618702219,44,0,2064.681818181818,NaN
exp86_sensor2,1474618643168,1474618702623,41,1,2272.439024390244,2246.0
exp86_sensor50,1474618643964,1474618702849,41,1,2214.390243902439,2517.0
exp86_sensor5,1474618643951,1474618701395,37,1,2414.108108108108,3474.0
exp86_sensor51,1474618643978,1474618703606,42,0,2206.1666666666665,NaN
exp86_sensor52,1474618643994,1474618702691,41,1,2313.3414634146343,2114.0
exp86_sensor4,1474618643739,1474618701617,39,1,2272.74358974359,948.0
exp86_sensor7,1474618644351,1474618701236,38,0,2348.157894736842,NaN
exp86_sensor10,1474618642853,1474618702606,41,1,2270.7073170731705,3313.0
exp86_sensor6,1474618644162,1474618703656,42,0,2118.4761904761904,NaN
exp86_sensor9,1474618644386,1474618704172,42,2,2127.6666666666665,2324.5
exp86_sensor12,1474618642969,1474618701612,44,0,2137.2954545454545,NaN
exp86_sensor11,1474618642885,1474618701616,41,1,2212.2195121951218,2348.0
exp86_sensor8,1474618644381,1474618702722,41,1,2272.9756097560976,1972.0
