sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp32_sensor20,1474605925959,1474605984979,184,4,485.125,652.25
exp32_sensor5,1474605926049,1474605985457,177,1,508.4858757062147,437.0
exp32_sensor6,1474605926083,1474605985312,169,1,540.8047337278107,493.0
exp32_sensor7,1474605926122,1474605984956,164,2,533.5365853658536,1578.5
exp32_sensor8,1474605926149,1474605985363,190,2,468.41052631578947,193.5
exp32_sensor9,1474605926173,1474605985536,177,1,516.8248587570622,824.0
exp32_sensor19,1474605925891,1474605985439,165,1,571.1575757575757,420.0
exp32_sensor18,1474605925865,1474605985539,172,4,529.2558139534884,707.75
exp32_sensor13,1474605925659,1474605985422,171,1,531.1345029239766,620.0
exp32_sensor17,1474605925834,1474605985047,168,4,530.7261904761905,794.75
exp32_sensor1,1474605925475,1474605985287,176,2,520.0,409.0
exp32_sensor2,1474605925915,1474605985312,176,2,516.1761363636364,468.5
exp32_sensor16,1474605925798,1474605985265,177,3,490.6949152542373,674.6666666666666
exp32_sensor12,1474605925591,1474605985273,183,1,495.3825136612022,803.0
exp32_sensor3,1474605926000,1474605985309,177,1,517.5988700564972,514.0
exp32_sensor15,1474605925735,1474605985322,163,1,562.9938650306749,547.0
exp32_sensor11,1474605925543,1474605985452,175,3,522.3028571428572,621.6666666666666
exp32_sensor14,1474605925687,1474605985380,167,1,548.6706586826348,309.0
exp32_sensor10,1474605925513,1474605985351,180,0,512.8722222222223,NaN
exp32_sensor4,1474605926025,1474605985437,178,2,518.0,267.0
