sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp70_sensor1,1474614343167,1474614400496,32,0,3073.59375,NaN
exp70_sensor2,1474614343523,1474614398975,27,1,3196.0,6528.0
exp70_sensor58,1474614344579,1474614398994,30,2,2809.9666666666667,4118.5
exp70_sensor59,1474614344588,1474614402079,30,0,3201.266666666667,NaN
exp70_sensor56,1474614344547,1474614398996,31,1,2830.6451612903224,4241.0
exp70_sensor57,1474614344566,1474614402108,29,1,3253.0,3211.0
exp70_sensor54,1474614344526,1474614398987,30,0,3141.4,NaN
exp70_sensor55,1474614344539,1474614402014,32,2,2832.5625,3185.5
exp70_sensor52,1474614344490,1474614400516,29,1,3272.2413793103447,4237.0
exp70_sensor53,1474614344514,1474614398960,29,1,3195.4827586206898,2345.0
exp70_sensor60,1474614344615,1474614402090,32,0,3065.90625,NaN
exp70_sensor6,1474614344608,1474614399103,30,0,3098.366666666667,NaN
exp70_sensor5,1474614344431,1474614399078,30,0,3149.1666666666665,NaN
exp70_sensor4,1474614344197,1474614399111,29,1,3032.9310344827586,6240.0
exp70_sensor3,1474614343862,1474614398962,28,2,3085.8214285714284,4862.0
exp70_sensor9,1474614344641,1474614398951,30,0,3120.766666666667,NaN
exp70_sensor8,1474614344631,1474614402058,29,1,3156.793103448276,3320.0
exp70_sensor7,1474614344621,1474614401923,29,3,3196.0,1291.3333333333333
exp70_sensor38,1474614344163,1474614399092,28,2,3007.535714285714,4421.5
exp70_sensor39,1474614344177,1474614400635,30,0,3301.266666666667,NaN
exp70_sensor32,1474614343927,1474614402057,31,1,2951.0967741935483,3318.0
exp70_sensor33,1474614344002,1474614402077,31,1,2997.3870967741937,5763.0
exp70_sensor30,1474614343876,1474614402029,28,2,3153.285714285714,3731.5
exp70_sensor31,1474614343911,1474614399070,29,1,2953.103448275862,6338.0
exp70_sensor36,1474614344134,1474614399063,32,0,2987.875,NaN
exp70_sensor37,1474614344152,1474614400996,33,1,2860.6363636363635,4220.0
exp70_sensor34,1474614344056,1474614399152,32,2,2772.5,999.0
exp70_sensor35,1474614344102,1474614402104,29,1,3205.1724137931033,3163.0
exp70_sensor29,1474614343839,1474614399088,30,0,3157.5,NaN
exp70_sensor28,1474614343804,1474614398979,27,1,3333.074074074074,5566.0
exp70_sensor27,1474614343774,1474614398999,25,1,3388.0,6399.0
exp70_sensor40,1474614344231,1474614402301,30,2,2986.4666666666667,2419.0
exp70_sensor22,1474614343615,1474614399093,30,0,3026.0666666666666,NaN
exp70_sensor21,1474614343561,1474614402019,31,1,3100.6129032258063,3510.0
exp70_sensor20,1474614343539,1474614401895,30,2,3084.633333333333,1892.5
exp70_sensor26,1474614343750,1474614398984,28,2,3013.464285714286,4374.5
exp70_sensor25,1474614343726,1474614402241,29,1,3206.206896551724,3004.0
exp70_sensor24,1474614343680,1474614402097,32,2,2915.40625,1720.0
exp70_sensor23,1474614343649,1474614400979,30,0,3388.5666666666666,NaN
exp70_sensor49,1474614344414,1474614402032,33,3,2837.5757575757575,1216.6666666666667
exp70_sensor41,1474614344265,1474614402219,31,1,3013.032258064516,2958.0
exp70_sensor42,1474614344275,1474614399158,29,1,2993.1724137931033,6283.0
exp70_sensor43,1474614344295,1474614399090,29,1,2960.862068965517,5730.0
exp70_sensor44,1474614344326,1474614402234,29,1,3246.2758620689656,2913.0
exp70_sensor45,1474614344330,1474614402263,29,1,3117.206896551724,3030.0
exp70_sensor46,1474614344359,1474614400264,31,1,2809.6129032258063,5042.0
exp70_sensor47,1474614344387,1474614400962,32,0,3145.5,NaN
exp70_sensor48,1474614344402,1474614400643,30,2,2846.6666666666665,2490.5
exp70_sensor17,1474614343448,1474614401975,32,2,2857.46875,1785.0
exp70_sensor16,1474614343417,1474614399163,30,2,3110.9,158.0
exp70_sensor19,1474614343506,1474614402026,30,0,3386.1,NaN
exp70_sensor18,1474614343464,1474614402102,31,1,3170.451612903226,3407.0
exp70_sensor51,1474614344474,1474614400963,31,3,3037.451612903226,1092.3333333333333
exp70_sensor50,1474614344447,1474614400669,31,3,2702.032258064516,1659.3333333333333
exp70_sensor11,1474614343275,1474614401006,30,0,3450.366666666667,NaN
exp70_sensor10,1474614343232,1474614402213,29,1,3252.8275862068967,3001.0
exp70_sensor13,1474614343350,1474614402285,28,2,3338.714285714286,2573.0
exp70_sensor12,1474614343326,1474614399068,31,1,3157.0,2304.0
exp70_sensor15,1474614343390,1474614402222,32,0,3170.25,NaN
exp70_sensor14,1474614343374,1474614402221,30,2,3122.5666666666666,1526.0
