sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp83_sensor38,1474617815102,1474617873451,42,0,2188.4523809523807,NaN
exp83_sensor39,1474617815125,1474617873055,39,1,2311.5641025641025,1167.0
exp83_sensor36,1474617815055,1474617872814,42,0,2246.7619047619046,NaN
exp83_sensor37,1474617815078,1474617873098,38,0,2391.9210526315787,NaN
exp83_sensor34,1474617814998,1474617874284,40,0,2314.075,NaN
exp83_sensor35,1474617815030,1474617874595,41,1,2252.243902439024,1184.0
exp83_sensor32,1474617814943,1474617873003,39,1,2270.5641025641025,3826.0
exp83_sensor33,1474617814952,1474617874290,42,0,2222.190476190476,NaN
exp83_sensor42,1474617815187,1474617873502,42,0,2217.285714285714,NaN
exp83_sensor41,1474617815166,1474617872413,43,1,2082.720930232558,1306.0
exp83_sensor40,1474617815151,1474617873383,39,1,2312.0,2125.0
exp83_sensor25,1474617814681,1474617873505,37,1,2430.891891891892,2136.0
exp83_sensor26,1474617814721,1474617873613,38,0,2479.157894736842,NaN
exp83_sensor27,1474617814753,1474617873424,39,1,2270.102564102564,2528.0
exp83_sensor28,1474617814780,1474617872640,39,1,2282.641025641026,3399.0
exp83_sensor21,1474617814543,1474617873710,42,0,2192.785714285714,NaN
exp83_sensor22,1474617814589,1474617872415,43,1,2069.953488372093,2535.0
exp83_sensor23,1474617814623,1474617874400,45,1,2089.088888888889,1334.0
exp83_sensor24,1474617814643,1474617874284,40,0,2376.225,NaN
exp83_sensor69,1474617815749,1474617875571,42,2,2152.214285714286,2379.0
exp83_sensor66,1474617815666,1474617874352,46,0,2002.4782608695652,NaN
exp83_sensor29,1474617814853,1474617874793,38,2,2433.7105263157896,1941.5
exp83_sensor65,1474617815643,1474617873105,38,2,2246.342105263158,2695.5
exp83_sensor68,1474617815728,1474617873317,38,2,2254.6315789473683,2442.0
exp83_sensor67,1474617815702,1474617873160,41,1,2135.0,2341.0
exp83_sensor70,1474617815785,1474617874418,38,2,2286.7894736842104,1950.5
exp83_sensor31,1474617814932,1474617873608,39,1,2325.3076923076924,2551.0
exp83_sensor30,1474617814911,1474617873667,43,1,2121.0697674418607,1286.0
exp83_sensor56,1474617815474,1474617874352,42,0,2198.0476190476193,NaN
exp83_sensor57,1474617815483,1474617873371,38,2,2302.2368421052633,3156.0
exp83_sensor54,1474617815439,1474617873541,39,3,2213.25641025641,1869.0
exp83_sensor55,1474617815458,1474617873663,38,2,2291.5263157894738,2162.0
exp83_sensor9,1474617815797,1474617875705,40,2,2137.825,2544.0
exp83_sensor58,1474617815493,1474617873929,42,0,2194.3333333333335,NaN
exp83_sensor59,1474617815526,1474617874166,40,0,2318.875,NaN
exp83_sensor4,1474617815134,1474617874429,41,1,2267.487804878049,1165.0
exp83_sensor3,1474617814882,1474617873666,37,3,2325.3513513513512,2688.3333333333335
exp83_sensor2,1474617814494,1474617873030,42,0,2173.3809523809523,NaN
exp83_sensor1,1474617814031,1474617871556,36,0,2592.027777777778,NaN
exp83_sensor8,1474617815791,1474617874991,42,0,2194.285714285714,NaN
exp83_sensor7,1474617815770,1474617873927,42,0,2204.9523809523807,NaN
exp83_sensor6,1474617815546,1474617874590,41,1,2295.0,1200.0
exp83_sensor5,1474617815378,1474617874419,40,2,2293.525,1191.0
exp83_sensor60,1474617815567,1474617874425,41,1,2252.487804878049,1157.0
exp83_sensor64,1474617815626,1474617874131,44,0,2090.068181818182,NaN
exp83_sensor63,1474617815599,1474617873919,41,1,2146.8048780487807,1772.0
exp83_sensor62,1474617815594,1474617873500,42,0,2266.1428571428573,NaN
exp83_sensor61,1474617815578,1474617873470,38,2,2262.2368421052633,3187.0
exp83_sensor43,1474617815214,1474617874433,43,1,2221.4883720930234,1197.0
exp83_sensor44,1474617815247,1474617873471,41,1,2236.9268292682927,2336.0
exp83_sensor45,1474617815275,1474617873447,40,0,2310.9,NaN
exp83_sensor46,1474617815296,1474617873614,42,0,2131.714285714286,NaN
exp83_sensor20,1474617814509,1474617874358,42,2,2132.0714285714284,1773.0
exp83_sensor47,1474617815318,1474617873336,43,1,2060.046511627907,1277.0
exp83_sensor48,1474617815336,1474617873405,42,2,2119.4523809523807,1877.5
exp83_sensor49,1474617815363,1474617874258,41,1,2191.731707317073,2926.0
exp83_sensor19,1474617814472,1474617872056,39,1,2315.5128205128203,2126.0
exp83_sensor18,1474617814414,1474617873375,42,0,2311.2619047619046,NaN
exp83_sensor15,1474617814298,1474617872172,37,1,2409.5405405405404,3856.0
exp83_sensor14,1474617814238,1474617872595,44,0,2117.6363636363635,NaN
exp83_sensor17,1474617814378,1474617873092,41,1,2182.6341463414633,2560.0
exp83_sensor16,1474617814350,1474617873161,39,1,2241.871794871795,2367.0
exp83_sensor51,1474617815409,1474617874557,40,2,2228.65,1466.0
exp83_sensor11,1474617814143,1474617873614,40,0,2325.575,NaN
exp83_sensor10,1474617814087,1474617872578,38,2,2337.9210526315787,2353.0
exp83_sensor50,1474617815394,1474617874386,41,1,2296.1463414634145,1277.0
exp83_sensor13,1474617814214,1474617872766,41,1,2232.170731707317,2531.0
exp83_sensor53,1474617815433,1474617875227,42,2,2119.5,1856.0
exp83_sensor12,1474617814187,1474617872188,36,2,2427.1111111111113,1980.5
exp83_sensor52,1474617815414,1474617873433,40,0,2240.975,NaN
