sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp45_sensor11,1474608493782,1474608553298,64,0,1464.53125,NaN
exp45_sensor37,1474608494666,1474608554625,73,1,1228.9315068493152,2959.0
exp45_sensor10,1474608493748,1474608553510,61,1,1474.4426229508197,2081.0
exp45_sensor36,1474608494639,1474608554102,63,1,1425.5079365079366,2546.0
exp45_sensor9,1474608494873,1474608554719,65,1,1376.3384615384616,2016.0
exp45_sensor35,1474608494630,1474608553979,62,2,1374.6290322580646,1779.0
exp45_sensor8,1474608494858,1474608553606,67,1,1330.4328358208954,1957.0
exp45_sensor34,1474608494595,1474608553460,70,0,1282.142857142857,NaN
exp45_sensor7,1474608494830,1474608553970,61,1,1419.9180327868853,1663.0
exp45_sensor33,1474608494575,1474608554374,65,1,1364.553846153846,1793.0
exp45_sensor15,1474608493882,1474608552840,64,2,1373.1875,1990.0
exp45_sensor6,1474608494801,1474608554717,66,0,1346.1363636363637,NaN
exp45_sensor32,1474608494565,1474608553950,64,2,1347.78125,2883.0
exp45_sensor14,1474608493844,1474608552864,62,2,1382.983870967742,1517.0
exp45_sensor5,1474608494772,1474608554289,60,2,1450.9166666666667,2459.0
exp45_sensor4,1474608494721,1474608554527,66,2,1339.378787878788,2923.5
exp45_sensor31,1474608494521,1474608553995,64,0,1352.59375,NaN
exp45_sensor13,1474608493828,1474608553076,66,2,1321.1515151515152,2657.5
exp45_sensor3,1474608494464,1474608553411,62,0,1450.9516129032259,NaN
exp45_sensor30,1474608494495,1474608553209,64,2,1367.328125,2291.5
exp45_sensor12,1474608493799,1474608553400,69,1,1267.0434782608695,2214.0
exp45_sensor2,1474608494054,1474608553969,66,2,1288.2727272727273,2874.0
exp45_sensor1,1474608493690,1474608551951,59,3,1406.5593220338983,3133.6666666666665
exp45_sensor29,1474608494410,1474608552870,66,2,1363.2272727272727,1512.0
exp45_sensor27,1474608494333,1474608553484,61,3,1435.5737704918033,1075.6666666666667
exp45_sensor28,1474608494379,1474608554139,62,0,1511.5645161290322,NaN
exp45_sensor20,1474608494066,1474608553128,61,1,1362.5409836065573,1545.0
exp45_sensor22,1474608494153,1474608553488,66,0,1351.439393939394,NaN
exp45_sensor21,1474608494116,1474608553142,65,1,1348.676923076923,2950.0
exp45_sensor24,1474608494241,1474608553212,60,2,1458.25,1168.0
exp45_sensor23,1474608494195,1474608553106,66,2,1272.3636363636363,2853.0
exp45_sensor26,1474608494277,1474608554089,65,3,1331.553846153846,1450.6666666666667
exp45_sensor25,1474608494246,1474608553584,62,0,1422.0967741935483,NaN
exp45_sensor40,1474608494756,1474608553832,63,1,1372.7777777777778,3407.0
exp45_sensor16,1474608493914,1474608553429,65,1,1386.9538461538461,2036.0
exp45_sensor17,1474608493943,1474608553066,65,1,1327.9384615384615,1780.0
exp45_sensor18,1474608493975,1474608551973,65,3,1258.446153846154,2824.3333333333335
exp45_sensor19,1474608494002,1474608551429,60,0,1540.25,NaN
exp45_sensor38,1474608494675,1474608554510,68,0,1396.0882352941176,NaN
exp45_sensor39,1474608494701,1474608554552,65,1,1340.8,1623.0
