sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp51_sensor32,1474609810514,1474609869714,61,1,1473.0983606557377,1197.0
exp51_sensor31,1474609810496,1474609870233,69,1,1316.1159420289855,1108.0
exp51_sensor30,1474609810470,1474609870046,67,1,1346.955223880597,799.0
exp51_sensor10,1474609809819,1474609869545,69,1,1358.376811594203,2071.0
exp51_sensor1,1474609809788,1474609868918,60,0,1578.5666666666666,NaN
exp51_sensor2,1474609810165,1474609869711,67,1,1385.1044776119404,1015.0
exp51_sensor3,1474609810452,1474609869711,68,0,1413.4264705882354,NaN
exp51_sensor4,1474609810714,1474609870441,66,0,1444.2272727272727,NaN
exp51_sensor5,1474609810827,1474609870402,68,0,1365.8088235294117,NaN
exp51_sensor6,1474609810882,1474609870828,71,1,1277.1690140845071,2027.0
exp51_sensor7,1474609810899,1474609870043,69,1,1355.231884057971,557.0
exp51_sensor8,1474609810926,1474609870768,69,1,1285.8840579710145,2430.0
exp51_sensor24,1474609810295,1474609869704,68,0,1364.8382352941176,NaN
exp51_sensor25,1474609810322,1474609869664,65,1,1395.8615384615384,695.0
exp51_sensor9,1474609810937,1474609869888,67,1,1400.4179104477612,968.0
exp51_sensor22,1474609810238,1474609869011,70,2,1290.1571428571428,1318.5
exp51_sensor23,1474609810263,1474609869918,68,0,1344.264705882353,NaN
exp51_sensor28,1474609810409,1474609869417,66,0,1408.969696969697,NaN
exp51_sensor29,1474609810428,1474609870216,64,0,1504.375,NaN
exp51_sensor26,1474609810346,1474609869280,63,1,1400.095238095238,2424.0
exp51_sensor27,1474609810376,1474609868860,64,0,1450.921875,NaN
exp51_sensor40,1474609810734,1474609869691,62,2,1410.5645161290322,1515.0
exp51_sensor20,1474609810176,1474609869584,66,2,1333.969696969697,2259.0
exp51_sensor21,1474609810210,1474609868623,63,1,1395.873015873016,624.0
exp51_sensor16,1474609810063,1474609869941,59,1,1588.3389830508474,2411.0
exp51_sensor15,1474609810035,1474609869705,64,0,1444.84375,NaN
exp51_sensor18,1474609810097,1474609869880,69,1,1321.231884057971,881.0
exp51_sensor17,1474609810084,1474609868907,64,2,1430.234375,2403.5
exp51_sensor12,1474609809960,1474609868616,68,0,1361.264705882353,NaN
exp51_sensor11,1474609809930,1474609869835,66,2,1350.1060606060605,2234.5
exp51_sensor14,1474609809996,1474609869275,76,0,1211.907894736842,NaN
exp51_sensor13,1474609809978,1474609868887,62,0,1530.3709677419354,NaN
exp51_sensor33,1474609810555,1474609870304,72,0,1286.5,NaN
exp51_sensor34,1474609810584,1474609869702,66,0,1450.8333333333333,NaN
exp51_sensor35,1474609810591,1474609869891,61,1,1487.4426229508197,3661.0
exp51_sensor36,1474609810603,1474609870111,70,2,1213.3857142857144,2543.0
exp51_sensor37,1474609810658,1474609868927,66,0,1310.8333333333333,NaN
exp51_sensor19,1474609810128,1474609869157,64,0,1477.09375,NaN
exp51_sensor38,1474609810670,1474609870267,76,0,1201.1447368421052,NaN
exp51_sensor39,1474609810688,1474609870029,65,1,1342.4307692307693,2575.0
