sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp91_sensor75,1474620093304,1474620152189,37,1,2254.6216216216217,6963.0
exp91_sensor76,1474620093322,1474620152977,33,1,2613.757575757576,4100.0
exp91_sensor73,1474620093289,1474620151645,33,1,2615.5151515151515,5334.0
exp91_sensor74,1474620093301,1474620153047,36,0,2567.9444444444443,NaN
exp91_sensor79,1474620093359,1474620151669,35,1,2506.457142857143,5439.0
exp91_sensor77,1474620093327,1474620152979,35,1,2513.9142857142856,5475.0
exp91_sensor78,1474620093340,1474620151637,36,0,2422.0,NaN
exp91_sensor38,1474620092578,1474620151459,33,1,2680.3636363636365,4091.0
exp91_sensor37,1474620092548,1474620152278,35,1,2570.8,5252.0
exp91_sensor39,1474620092589,1474620151071,33,1,2609.3030303030305,6214.0
exp91_sensor30,1474620092421,1474620151104,34,0,2702.1470588235293,NaN
exp91_sensor32,1474620092462,1474620151914,34,2,2653.9117647058824,2416.0
exp91_sensor31,1474620092443,1474620151458,32,2,2599.0,3870.0
exp91_sensor34,1474620092501,1474620149404,32,0,2877.0625,NaN
exp91_sensor33,1474620092488,1474620149825,33,1,2622.848484848485,6561.0
exp91_sensor36,1474620092522,1474620149331,35,1,2412.542857142857,6430.0
exp91_sensor80,1474620093471,1474620151839,35,1,2438.7428571428572,7356.0
exp91_sensor35,1474620092505,1474620149665,35,1,2431.2,6288.0
exp91_sensor62,1474620093107,1474620151067,35,1,2435.6285714285714,5825.0
exp91_sensor63,1474620093124,1474620152070,34,0,2690.8823529411766,NaN
exp91_sensor64,1474620093150,1474620153088,37,1,2345.3513513513512,5330.0
exp91_sensor65,1474620093167,1474620151779,35,1,2416.1714285714284,6519.0
exp91_sensor66,1474620093189,1474620151901,37,1,2476.4054054054054,4141.0
exp91_sensor67,1474620093202,1474620151872,33,1,2624.6969696969695,6240.0
exp91_sensor68,1474620093220,1474620153086,35,1,2471.2,6812.0
exp91_sensor69,1474620093227,1474620153086,33,1,2722.909090909091,3945.0
exp91_sensor29,1474620092379,1474620151349,31,1,2862.2580645161293,5199.0
exp91_sensor28,1474620092355,1474620149465,31,1,2778.6451612903224,4008.0
exp91_sensor27,1474620092319,1474620151216,35,1,2542.2285714285713,4106.0
exp91_sensor26,1474620092286,1474620151979,35,1,2489.8571428571427,6935.0
exp91_sensor21,1474620092172,1474620152048,35,1,2543.7714285714287,6667.0
exp91_sensor20,1474620092130,1474620149612,32,0,2803.625,NaN
exp91_sensor25,1474620092284,1474620149066,31,1,2814.7419354838707,5489.0
exp91_sensor70,1474620093254,1474620151108,32,2,2703.625,2952.0
exp91_sensor24,1474620092241,1474620151570,33,1,2634.030303030303,7033.0
exp91_sensor23,1474620092224,1474620151346,34,0,2824.0588235294117,NaN
exp91_sensor72,1474620093277,1474620149467,33,1,2523.6363636363635,7295.0
exp91_sensor22,1474620092185,1474620149857,34,0,2746.5588235294117,NaN
exp91_sensor71,1474620093266,1474620151872,33,1,2589.5151515151515,7125.0
exp91_sensor60,1474620093076,1474620152859,35,1,2461.0,6637.0
exp91_sensor61,1474620093094,1474620151587,35,1,2485.2,4507.0
exp91_sensor11,1474620091828,1474620147806,31,1,2828.2580645161293,3362.0
exp91_sensor12,1474620091868,1474620151238,34,0,2812.9117647058824,NaN
exp91_sensor13,1474620091911,1474620149612,34,2,2467.235294117647,4138.0
exp91_sensor14,1474620091945,1474620149499,33,1,2578.5151515151515,6914.0
exp91_sensor59,1474620093022,1474620149827,33,1,2588.3939393939395,5348.0
exp91_sensor10,1474620091794,1474620150693,36,0,2535.3611111111113,NaN
exp91_sensor19,1474620092096,1474620151907,37,1,2460.3513513513512,3361.0
exp91_sensor56,1474620092985,1474620152075,36,0,2506.4166666666665,NaN
exp91_sensor55,1474620092969,1474620151830,33,1,2601.090909090909,6456.0
exp91_sensor58,1474620093010,1474620152844,37,1,2467.837837837838,3412.0
exp91_sensor57,1474620093010,1474620149839,34,0,2645.4411764705883,NaN
exp91_sensor52,1474620092922,1474620150410,35,1,2514.885714285714,4485.0
exp91_sensor15,1474620091994,1474620149620,30,2,2926.766666666667,4017.0
exp91_sensor16,1474620092018,1474620149852,33,1,2597.2727272727275,6225.0
exp91_sensor51,1474620092907,1474620152840,32,2,2542.65625,5367.0
exp91_sensor17,1474620092053,1474620151473,35,1,2549.6285714285714,4286.0
exp91_sensor54,1474620092942,1474620149614,34,0,2594.970588235294,NaN
exp91_sensor53,1474620092934,1474620151949,35,1,2564.4857142857145,2569.0
exp91_sensor18,1474620092080,1474620151351,35,1,2537.5714285714284,7061.0
exp91_sensor1,1474620091723,1474620149467,35,1,2465.2285714285713,6159.0
exp91_sensor50,1474620092888,1474620152274,33,1,2669.6969696969695,5025.0
exp91_sensor2,1474620092114,1474620149668,34,0,2653.0,NaN
exp91_sensor3,1474620092405,1474620152268,35,1,2443.285714285714,6280.0
exp91_sensor49,1474620092866,1474620152077,36,0,2546.4166666666665,NaN
exp91_sensor48,1474620092859,1474620151830,35,1,2449.2,6525.0
exp91_sensor47,1474620092841,1474620151824,32,2,2604.0625,3608.5
exp91_sensor9,1474620093486,1474620153085,36,0,2555.277777777778,NaN
exp91_sensor8,1474620093390,1474620151868,35,1,2574.2571428571428,5467.0
exp91_sensor46,1474620092823,1474620149472,33,1,2594.0,4607.0
exp91_sensor45,1474620092809,1474620151892,34,0,2791.205882352941,NaN
exp91_sensor44,1474620092778,1474620151376,35,1,2567.1428571428573,3444.0
exp91_sensor43,1474620092764,1474620149234,31,1,2897.0967741935483,3410.0
exp91_sensor5,1474620092887,1474620149610,34,0,2731.0,NaN
exp91_sensor42,1474620092758,1474620151356,34,0,2696.676470588235,NaN
exp91_sensor4,1474620092619,1474620151107,33,1,2554.5151515151515,6939.0
exp91_sensor41,1474620092717,1474620152120,35,1,2380.657142857143,6855.0
exp91_sensor7,1474620093242,1474620151637,35,1,2510.285714285714,4612.0
exp91_sensor40,1474620092671,1474620151096,35,1,2487.8285714285716,4746.0
exp91_sensor6,1474620093029,1474620152959,36,0,2466.777777777778,NaN
