sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp50_sensor17,1474609591922,1474609650869,73,3,1220.6027397260275,1385.0
exp50_sensor16,1474609591902,1474609651571,75,1,1244.92,1277.0
exp50_sensor15,1474609591862,1474609651671,84,0,1112.7738095238096,NaN
exp50_sensor14,1474609591843,1474609650427,70,2,1284.7571428571428,929.0
exp50_sensor13,1474609591807,1474609650883,72,0,1285.4027777777778,NaN
exp50_sensor12,1474609591771,1474609651519,78,0,1191.8076923076924,NaN
exp50_sensor11,1474609591732,1474609651414,76,0,1213.671052631579,NaN
exp50_sensor10,1474609591675,1474609650660,70,0,1317.0,NaN
exp50_sensor9,1474609592736,1474609652364,74,2,1183.1081081081081,1081.0
exp50_sensor8,1474609592715,1474609652597,76,0,1221.5526315789473,NaN
exp50_sensor34,1474609592426,1474609652317,76,0,1218.5526315789473,NaN
exp50_sensor7,1474609592710,1474609652066,78,0,1172.423076923077,NaN
exp50_sensor35,1474609592492,1474609652352,78,0,1167.3076923076924,NaN
exp50_sensor32,1474609592351,1474609651444,73,1,1234.150684931507,2454.0
exp50_sensor6,1474609592673,1474609652331,75,1,1170.6133333333332,2570.0
exp50_sensor5,1474609592639,1474609652028,71,1,1273.605633802817,1229.0
exp50_sensor33,1474609592394,1474609651672,80,0,1167.2625,NaN
exp50_sensor4,1474609592611,1474609652317,78,0,1161.8974358974358,NaN
exp50_sensor38,1474609592533,1474609652330,72,0,1281.3333333333333,NaN
exp50_sensor39,1474609592552,1474609651737,74,2,1202.027027027027,1761.0
exp50_sensor3,1474609592304,1474609651694,72,0,1272.1666666666667,NaN
exp50_sensor36,1474609592498,1474609652403,72,0,1262.1527777777778,NaN
exp50_sensor2,1474609591991,1474609650901,71,1,1302.661971830986,1188.0
exp50_sensor19,1474609591946,1474609650636,70,0,1307.3,NaN
exp50_sensor37,1474609592526,1474609651217,70,2,1256.2714285714285,1648.0
exp50_sensor1,1474609591633,1474609651512,67,1,1393.313432835821,1797.0
exp50_sensor18,1474609591946,1474609651883,72,2,1223.7222222222222,1324.0
exp50_sensor40,1474609592630,1474609652375,76,0,1164.75,NaN
exp50_sensor20,1474609592010,1474609651967,78,0,1160.8461538461538,NaN
exp50_sensor26,1474609592209,1474609651410,83,1,1095.120481927711,791.0
exp50_sensor25,1474609592174,1474609651470,76,0,1174.7236842105262,NaN
exp50_sensor28,1474609592266,1474609651796,74,0,1232.4054054054054,NaN
exp50_sensor27,1474609592238,1474609651763,74,2,1213.337837837838,1126.5
exp50_sensor22,1474609592080,1474609652061,70,0,1347.5,NaN
exp50_sensor21,1474609592050,1474609651190,68,2,1311.5,878.5
exp50_sensor24,1474609592138,1474609651634,72,0,1254.4027777777778,NaN
exp50_sensor23,1474609592105,1474609651215,73,1,1244.13698630137,1169.0
exp50_sensor29,1474609592274,1474609652027,73,1,1242.6438356164383,1389.0
exp50_sensor30,1474609592330,1474609652283,75,1,1206.56,789.0
exp50_sensor31,1474609592342,1474609651447,75,1,1201.8933333333334,1938.0
