sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp65_sensor39,1474613057231,1474613116072,48,0,1963.9166666666667,NaN
exp65_sensor38,1474613057216,1474613114817,47,1,1844.0425531914893,4936.0
exp65_sensor37,1474613057201,1474613114861,46,0,1986.6304347826087,NaN
exp65_sensor36,1474613057191,1474613116195,50,2,1682.98,3462.5
exp65_sensor41,1474613057284,1474613116161,50,2,1719.66,2980.5
exp65_sensor42,1474613057303,1474613114763,48,2,1737.7291666666667,3409.0
exp65_sensor40,1474613057259,1474613114749,48,0,1870.0833333333333,NaN
exp65_sensor45,1474613057354,1474613114816,48,2,1805.3333333333333,3399.5
exp65_sensor46,1474613057366,1474613114781,50,2,1647.08,3494.0
exp65_sensor43,1474613057310,1474613116175,47,1,1897.276595744681,5104.0
exp65_sensor44,1474613057331,1474613117196,47,3,1799.0425531914893,2758.3333333333335
exp65_sensor26,1474613056884,1474613116163,54,0,1682.4814814814815,NaN
exp65_sensor25,1474613056879,1474613113848,46,0,1869.7826086956522,NaN
exp65_sensor28,1474613056960,1474613116346,51,3,1683.4705882352941,2592.6666666666665
exp65_sensor27,1474613056907,1474613116261,49,1,1856.408163265306,2523.0
exp65_sensor29,1474613056977,1474613114856,48,2,1830.0625,1918.5
exp65_sensor30,1474613057049,1474613114779,48,2,1801.3541666666667,3919.5
exp65_sensor31,1474613057062,1474613114815,48,0,1920.9791666666667,NaN
exp65_sensor32,1474613057076,1474613116242,49,3,1661.7551020408164,3491.6666666666665
exp65_sensor33,1474613057106,1474613116260,46,2,1874.3260869565217,3632.5
exp65_sensor34,1474613057157,1474613114857,45,1,1969.4666666666667,4963.0
exp65_sensor35,1474613057184,1474613113805,47,1,1936.936170212766,2138.0
exp65_sensor19,1474613056662,1474613116143,50,0,1874.9,NaN
exp65_sensor18,1474613056637,1474613113791,44,0,2025.909090909091,NaN
exp65_sensor17,1474613056605,1474613114885,42,2,2033.642857142857,3359.0
exp65_sensor16,1474613056591,1474613113824,46,2,1895.1304347826087,3360.5
exp65_sensor15,1474613056564,1474613114748,49,1,1807.4489795918366,4968.0
exp65_sensor14,1474613056536,1474613116246,48,0,1921.2083333333333,NaN
exp65_sensor8,1474613057498,1474613117114,54,2,1590.351851851852,2890.0
exp65_sensor7,1474613057486,1474613117267,49,1,1830.265306122449,2477.0
exp65_sensor6,1474613057473,1474613116260,45,1,2038.8,2196.0
exp65_sensor5,1474613057424,1474613116328,51,1,1783.1176470588234,2637.0
exp65_sensor9,1474613057502,1474613117481,45,3,1785.4888888888888,3152.3333333333335
exp65_sensor23,1474613056805,1474613114791,45,1,1998.0444444444445,2516.0
exp65_sensor24,1474613056838,1474613114954,48,2,1810.625,3403.0
exp65_sensor21,1474613056747,1474613114903,49,1,1814.591836734694,1323.0
exp65_sensor22,1474613056803,1474613114747,46,2,1835.891304347826,3652.0
exp65_sensor4,1474613057254,1474613116071,46,0,1971.2826086956522,NaN
exp65_sensor3,1474613057005,1474613114790,46,0,2023.3478260869565,NaN
exp65_sensor20,1474613056713,1474613116249,52,0,1816.576923076923,NaN
exp65_sensor2,1474613056685,1474613114776,47,1,1981.7659574468084,1273.0
exp65_sensor1,1474613056341,1474613114738,48,2,1783.5625,3858.0
exp65_sensor50,1474613057454,1474613116168,47,3,1671.659574468085,3338.6666666666665
exp65_sensor10,1474613056396,1474613116172,44,2,1911.409090909091,3490.0
exp65_sensor11,1474613056434,1474613114777,46,0,2024.9782608695652,NaN
exp65_sensor12,1474613056468,1474613116164,48,2,1771.0416666666667,2922.5
exp65_sensor13,1474613056511,1474613116349,51,1,1823.0,550.0
exp65_sensor49,1474613057418,1474613116168,46,2,1769.4347826086957,3483.5
exp65_sensor47,1474613057392,1474613114889,43,1,2073.953488372093,1323.0
exp65_sensor48,1474613057396,1474613112687,46,0,1962.695652173913,NaN
