sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp60_sensor18,1474611871972,1474611931926,50,0,1851.84,NaN
exp60_sensor17,1474611871944,1474611931408,54,0,1726.648148148148,NaN
exp60_sensor19,1474611871992,1474611930743,45,1,2064.711111111111,1253.0
exp60_sensor10,1474611871724,1474611931503,52,0,1843.6153846153845,NaN
exp60_sensor12,1474611871816,1474611930257,47,1,1883.2553191489362,3195.0
exp60_sensor11,1474611871767,1474611931244,50,0,1831.14,NaN
exp60_sensor14,1474611871875,1474611931805,49,1,1796.0816326530612,1294.0
exp60_sensor13,1474611871855,1474611930436,50,0,1880.58,NaN
exp60_sensor16,1474611871924,1474611931713,46,0,2051.2608695652175,NaN
exp60_sensor15,1474611871902,1474611931440,47,1,1851.340425531915,2967.0
exp60_sensor29,1474611872249,1474611932056,53,1,1694.433962264151,1856.0
exp60_sensor28,1474611872240,1474611931692,49,1,1842.938775510204,1864.0
exp60_sensor23,1474611872084,1474611930858,50,0,1866.92,NaN
exp60_sensor22,1474611872067,1474611931945,44,2,1993.25,1964.0
exp60_sensor21,1474611872047,1474611931464,43,1,2186.3488372093025,3829.0
exp60_sensor20,1474611872034,1474611931100,50,0,1880.76,NaN
exp60_sensor27,1474611872216,1474611931411,54,0,1742.3148148148148,NaN
exp60_sensor26,1474611872200,1474611930791,42,2,2004.142857142857,3544.5
exp60_sensor25,1474611872160,1474611931371,46,0,2093.0,NaN
exp60_sensor24,1474611872119,1474611931155,47,1,1869.1063829787233,1358.0
exp60_sensor30,1474611872291,1474611931253,47,1,1901.8936170212767,2098.0
exp60_sensor7,1474611872797,1474611931686,48,0,2012.7916666666667,NaN
exp60_sensor6,1474611872786,1474611931388,48,0,1862.0,NaN
exp60_sensor9,1474611872822,1474611931944,50,0,1875.72,NaN
exp60_sensor8,1474611872810,1474611932502,48,0,1974.1666666666667,NaN
exp60_sensor3,1474611872265,1474611930461,50,0,1857.6,NaN
exp60_sensor2,1474611872014,1474611931672,47,1,1865.4893617021276,2114.0
exp60_sensor39,1474611872527,1474611931360,54,0,1710.2962962962963,NaN
exp60_sensor5,1474611872762,1474611930630,49,1,1825.0816326530612,3737.0
exp60_sensor4,1474611872559,1474611930706,44,0,2172.5,NaN
exp60_sensor36,1474611872439,1474611930448,46,0,2077.5,NaN
exp60_sensor35,1474611872417,1474611932032,45,1,2084.8,1418.0
exp60_sensor38,1474611872492,1474611931890,47,1,1901.1063829787233,4598.0
exp60_sensor37,1474611872465,1474611930060,46,0,1921.7608695652175,NaN
exp60_sensor32,1474611872348,1474611931197,48,0,1994.2291666666667,NaN
exp60_sensor31,1474611872331,1474611931219,50,0,1838.1,NaN
exp60_sensor34,1474611872396,1474611932317,49,1,1856.4897959183672,3301.0
exp60_sensor33,1474611872378,1474611931814,49,3,1779.204081632653,2160.3333333333335
exp60_sensor40,1474611872592,1474611931706,53,1,1720.1698113207547,1857.0
exp60_sensor41,1474611872619,1474611930825,46,0,1924.0,NaN
exp60_sensor1,1474611871650,1474611930461,47,1,1947.936170212766,3254.0
exp60_sensor49,1474611872746,1474611931874,49,1,1785.857142857143,2957.0
exp60_sensor48,1474611872730,1474611932698,45,1,2004.2444444444445,2893.0
exp60_sensor47,1474611872719,1474611932714,47,1,1880.340425531915,2886.0
exp60_sensor46,1474611872703,1474611932125,48,0,1981.6666666666667,NaN
exp60_sensor45,1474611872688,1474611931875,43,1,2028.7441860465117,2955.0
exp60_sensor44,1474611872670,1474611930494,49,1,1794.5102040816328,3795.0
exp60_sensor43,1474611872652,1474611931217,49,1,1820.0204081632653,3486.0
exp60_sensor42,1474611872640,1474611930985,45,3,1848.6666666666667,3079.0
exp60_sensor50,1474611872774,1474611931805,50,0,1783.16,NaN
