sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp75_sensor26,1474615633890,1474615693318,45,1,1991.3555555555556,3976.0
exp75_sensor27,1474615633914,1474615692225,42,0,2173.5238095238096,NaN
exp75_sensor24,1474615633845,1474615693565,46,0,2004.0869565217392,NaN
exp75_sensor25,1474615633864,1474615693263,43,1,2081.1627906976746,3749.0
exp75_sensor28,1474615633936,1474615693705,42,0,2236.285714285714,NaN
exp75_sensor29,1474615633980,1474615692647,44,0,2074.159090909091,NaN
exp75_sensor30,1474615634038,1474615692825,44,0,2081.3636363636365,NaN
exp75_sensor34,1474615634128,1474615693344,48,0,1934.2916666666667,NaN
exp75_sensor33,1474615634105,1474615692551,44,0,2068.2045454545455,NaN
exp75_sensor32,1474615634088,1474615693719,44,0,2040.409090909091,NaN
exp75_sensor31,1474615634084,1474615693965,45,1,2039.4,2184.0
exp75_sensor35,1474615634152,1474615693308,43,1,2109.6511627906975,1992.0
exp75_sensor36,1474615634177,1474615693044,41,1,2229.7073170731705,1358.0
exp75_sensor37,1474615634206,1474615693053,41,1,2176.5853658536585,2157.0
exp75_sensor38,1474615634225,1474615692222,44,0,2096.909090909091,NaN
exp75_sensor39,1474615634236,1474615693432,44,2,2056.1136363636365,1204.0
exp75_sensor41,1474615634293,1474615691984,46,0,2036.5869565217392,NaN
exp75_sensor40,1474615634271,1474615693315,43,1,2011.139534883721,1392.0
exp75_sensor43,1474615634342,1474615692500,46,0,1990.9782608695652,NaN
exp75_sensor42,1474615634314,1474615692292,44,0,2047.4772727272727,NaN
exp75_sensor45,1474615634375,1474615693284,41,1,2253.390243902439,2583.0
exp75_sensor44,1474615634364,1474615694285,48,0,1968.0833333333333,NaN
exp75_sensor48,1474615634423,1474615693431,47,1,1895.787234042553,2051.0
exp75_sensor49,1474615634430,1474615693736,44,0,2133.068181818182,NaN
exp75_sensor46,1474615634397,1474615693428,45,1,1946.6222222222223,3218.0
exp75_sensor47,1474615634407,1474615693209,44,0,2088.5227272727275,NaN
exp75_sensor11,1474615633382,1474615692627,40,0,2314.625,NaN
exp75_sensor12,1474615633407,1474615692771,44,0,2076.25,NaN
exp75_sensor10,1474615633314,1474615692396,43,1,2072.6976744186045,3235.0
exp75_sensor56,1474615634581,1474615694131,44,2,1962.0,3123.0
exp75_sensor55,1474615634571,1474615694149,44,0,2132.431818181818,NaN
exp75_sensor54,1474615634535,1474615694157,44,0,2049.5454545454545,NaN
exp75_sensor53,1474615634519,1474615693486,44,0,2114.4545454545455,NaN
exp75_sensor52,1474615634516,1474615694123,46,0,2009.8260869565217,NaN
exp75_sensor51,1474615634492,1474615693006,43,1,2092.9302325581393,959.0
exp75_sensor50,1474615634484,1474615694140,43,1,2084.5581395348836,2077.0
exp75_sensor57,1474615634604,1474615692804,43,1,2125.5813953488373,2131.0
exp75_sensor58,1474615634611,1474615694138,42,0,2202.9285714285716,NaN
exp75_sensor59,1474615634620,1474615693847,46,0,2002.6521739130435,NaN
exp75_sensor18,1474615633624,1474615692647,43,1,2151.0232558139537,944.0
exp75_sensor17,1474615633615,1474615692128,38,2,2295.6052631578946,2826.5
exp75_sensor19,1474615633679,1474615691537,46,0,2003.391304347826,NaN
exp75_sensor14,1474615633489,1474615692646,43,1,2076.953488372093,3712.0
exp75_sensor13,1474615633466,1474615693009,46,2,1915.5434782608695,1885.0
exp75_sensor16,1474615633552,1474615693332,44,0,2120.4772727272725,NaN
exp75_sensor15,1474615633527,1474615692526,42,0,2198.5,NaN
exp75_sensor20,1474615633730,1474615692231,45,1,2076.0222222222224,1425.0
exp75_sensor21,1474615633762,1474615692703,48,0,1913.4166666666667,NaN
exp75_sensor22,1474615633794,1474615692382,44,0,2073.4545454545455,NaN
exp75_sensor23,1474615633823,1474615693173,43,1,2072.953488372093,3218.0
exp75_sensor8,1474615634723,1474615693731,45,1,2020.5111111111112,1922.0
exp75_sensor9,1474615634724,1474615694505,46,0,1949.9130434782608,NaN
exp75_sensor6,1474615634656,1474615693937,44,0,2094.1363636363635,NaN
exp75_sensor7,1474615634691,1474615694670,44,0,2115.4772727272725,NaN
exp75_sensor4,1474615634249,1474615693431,44,0,2100.25,NaN
exp75_sensor5,1474615634447,1474615692494,40,0,2278.625,NaN
exp75_sensor2,1474615633692,1474615692688,45,1,2042.888888888889,2076.0
exp75_sensor3,1474615634002,1474615693867,44,0,2089.9545454545455,NaN
exp75_sensor60,1474615634666,1474615693302,42,0,2185.404761904762,NaN
exp75_sensor1,1474615633250,1474615693019,46,0,2052.5434782608695,NaN
