sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp43_sensor29,1474608076854,1474608136567,115,3,776.6086956521739,700.6666666666666
exp43_sensor12,1474608076322,1474608135685,107,1,835.7757009345794,874.0
exp43_sensor25,1474608076696,1474608136509,111,1,815.9639639639639,522.0
exp43_sensor26,1474608076723,1474608136537,106,2,805.566037735849,1647.0
exp43_sensor13,1474608076364,1474608136311,109,1,845.6788990825688,1295.0
exp43_sensor10,1474608076190,1474608135529,104,0,885.7980769230769,NaN
exp43_sensor27,1474608076741,1474608136525,105,1,882.6952380952381,464.0
exp43_sensor11,1474608076253,1474608136229,106,0,884.8962264150944,NaN
exp43_sensor28,1474608076817,1474608136615,103,1,882.8834951456311,2545.0
exp43_sensor4,1474608076912,1474608136616,112,0,825.4196428571429,NaN
exp43_sensor3,1474608076885,1474608136438,110,0,840.1636363636363,NaN
exp43_sensor2,1474608076577,1474608136558,102,0,932.3627450980392,NaN
exp43_sensor1,1474608076142,1474608135742,104,2,876.4038461538462,1090.0
exp43_sensor30,1474608076894,1474608136467,123,1,733.9674796747968,728.0
exp43_sensor9,1474608077028,1474608136814,102,2,856.6666666666666,1588.5
exp43_sensor8,1474608077023,1474608136730,104,0,877.0673076923077,NaN
exp43_sensor7,1474608076993,1474608136972,109,1,842.6330275229358,515.0
exp43_sensor6,1474608076970,1474608136649,110,0,843.6454545454545,NaN
exp43_sensor5,1474608076930,1474608136924,115,1,795.8173913043478,776.0
exp43_sensor20,1474608076592,1474608136155,100,0,934.66,NaN
exp43_sensor21,1474608076618,1474608136538,103,1,907.7669902912621,987.0
exp43_sensor22,1474608076624,1474608136299,102,0,894.3627450980392,NaN
exp43_sensor23,1474608076646,1474608136601,111,3,816.7387387387388,701.0
exp43_sensor24,1474608076672,1474608136226,106,0,864.4811320754717,NaN
exp43_sensor15,1474608076442,1474608136132,106,2,864.1509433962265,881.5
exp43_sensor14,1474608076398,1474608136024,116,0,793.4051724137931,NaN
exp43_sensor17,1474608076483,1474608136450,107,1,844.8878504672897,949.0
exp43_sensor16,1474608076455,1474608135904,102,0,902.1862745098039,NaN
exp43_sensor19,1474608076559,1474608136448,113,1,801.5044247787611,1064.0
exp43_sensor18,1474608076526,1474608135641,108,0,832.5648148148148,NaN
