sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp103_sensor1,1474623770618,1474623827542,32,0,2934.71875,NaN
exp103_sensor10,1474623770671,1474623829778,33,1,2759.6666666666665,4536.0
exp103_sensor12,1474623770735,1474623828224,28,0,3352.25,NaN
exp103_sensor11,1474623770706,1474623827538,30,0,3079.3333333333335,NaN
exp103_sensor14,1474623770850,1474623829696,34,0,2772.5588235294117,NaN
exp103_sensor13,1474623770791,1474623829725,28,2,2974.5714285714284,5917.5
exp103_sensor16,1474623770898,1474623827407,31,1,2775.6129032258063,5759.0
exp103_sensor15,1474623770871,1474623830245,27,1,3515.8518518518517,1539.0
exp103_sensor18,1474623770950,1474623827626,30,0,3072.733333333333,NaN
exp103_sensor54,1474623772256,1474623831721,33,1,2768.060606060606,2385.0
exp103_sensor17,1474623770930,1474623829078,29,1,3213.344827586207,4512.0
exp103_sensor53,1474623772236,1474623831558,31,1,2900.6774193548385,4534.0
exp103_sensor56,1474623772274,1474623830210,26,2,3173.769230769231,4644.0
exp103_sensor55,1474623772266,1474623829850,28,0,3379.785714285714,NaN
exp103_sensor19,1474623770978,1474623828214,29,1,2990.551724137931,4261.0
exp103_sensor58,1474623772312,1474623831768,31,1,2863.6774193548385,3155.0
exp103_sensor57,1474623772282,1474623831477,36,0,2626.6388888888887,NaN
exp103_sensor59,1474623772320,1474623832309,34,0,2728.0,NaN
exp103_sensor60,1474623772339,1474623831535,31,1,2932.1612903225805,2491.0
exp103_sensor61,1474623772355,1474623831553,34,0,2790.8529411764707,NaN
exp103_sensor62,1474623772362,1474623830236,31,1,2896.3870967741937,1583.0
exp103_sensor63,1474623772369,1474623831912,29,1,3179.2413793103447,3590.0
exp103_sensor8,1474623772651,1474623831515,30,0,3137.266666666667,NaN
exp103_sensor9,1474623772855,1474623831534,32,0,2860.3125,NaN
exp103_sensor6,1474623772326,1474623830196,30,2,2783.5,3906.0
exp103_sensor7,1474623772474,1474623829916,32,0,2882.40625,NaN
exp103_sensor4,1474623772010,1474623830621,29,1,2933.0344827586205,7218.0
exp103_sensor5,1474623772189,1474623832069,34,0,2754.764705882353,NaN
exp103_sensor2,1474623770989,1474623828170,31,1,2971.9032258064517,3568.0
exp103_sensor3,1474623771781,1474623828552,27,1,3313.1481481481483,3417.0
