sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp61_sensor30,1474612110123,1474612169790,47,1,1975.404255319149,2004.0
exp61_sensor31,1474612110154,1474612167790,42,0,2251.3333333333335,NaN
exp61_sensor22,1474612109847,1474612168084,43,1,2217.0697674418607,1744.0
exp61_sensor21,1474612109811,1474612169208,41,1,2127.048780487805,4752.0
exp61_sensor24,1474612109931,1474612167024,44,0,2228.818181818182,NaN
exp61_sensor23,1474612109880,1474612169871,42,0,2189.809523809524,NaN
exp61_sensor26,1474612109961,1474612167785,45,1,1979.5333333333333,2763.0
exp61_sensor25,1474612109935,1474612168084,46,0,2026.695652173913,NaN
exp61_sensor28,1474612110069,1474612167007,42,0,2149.7380952380954,NaN
exp61_sensor27,1474612110050,1474612167773,44,0,2131.318181818182,NaN
exp61_sensor29,1474612110098,1474612169004,47,1,1899.4255319148936,1544.0
exp61_sensor41,1474612110327,1474612167005,46,0,1975.608695652174,NaN
exp61_sensor42,1474612110342,1474612166996,44,0,2033.5454545454545,NaN
exp61_sensor40,1474612110307,1474612169652,44,0,2163.7954545454545,NaN
exp61_sensor35,1474612110209,1474612166919,41,1,2112.2926829268295,2113.0
exp61_sensor34,1474612110197,1474612169653,46,0,2050.6739130434785,NaN
exp61_sensor33,1474612110180,1474612169159,44,0,2058.181818181818,NaN
exp61_sensor32,1474612110163,1474612169829,46,0,2000.3695652173913,NaN
exp61_sensor39,1474612110272,1474612169160,42,0,2246.4761904761904,NaN
exp61_sensor38,1474612110259,1474612169151,46,0,2001.7173913043478,NaN
exp61_sensor9,1474612110536,1474612167970,48,0,1941.3125,NaN
exp61_sensor37,1474612110247,1474612169045,45,1,2088.822222222222,2185.0
exp61_sensor36,1474612110221,1474612169641,45,1,2003.911111111111,2479.0
exp61_sensor6,1474612110504,1474612169697,47,1,1945.6808510638298,2566.0
exp61_sensor5,1474612110451,1474612167021,41,1,2093.0731707317073,3525.0
exp61_sensor8,1474612110530,1474612169010,42,2,2158.595238095238,1524.5
exp61_sensor7,1474612110518,1474612169207,44,0,2092.7727272727275,NaN
exp61_sensor2,1474612109758,1474612167056,44,0,2132.9772727272725,NaN
exp61_sensor1,1474612109250,1474612166833,44,0,2093.7272727272725,NaN
exp61_sensor4,1474612110296,1474612167804,42,0,2222.9285714285716,NaN
exp61_sensor3,1474612110115,1474612169157,44,0,2151.9772727272725,NaN
exp61_sensor50,1474612110486,1474612167038,42,0,2161.809523809524,NaN
exp61_sensor47,1474612110414,1474612166916,40,0,2387.8,NaN
exp61_sensor48,1474612110424,1474612169812,43,1,2142.6046511627906,2827.0
exp61_sensor49,1474612110434,1474612170420,44,0,2028.8863636363637,NaN
exp61_sensor43,1474612110362,1474612167018,42,0,2238.9285714285716,NaN
exp61_sensor44,1474612110368,1474612169760,49,1,1898.4489795918366,1995.0
exp61_sensor45,1474612110384,1474612169644,43,1,2068.7441860465115,3564.0
exp61_sensor46,1474612110402,1474612169615,45,1,1903.5333333333333,4538.0
exp61_sensor20,1474612109794,1474612167023,40,0,2345.5,NaN
exp61_sensor17,1474612109618,1474612167004,43,1,2065.9767441860463,3268.0
exp61_sensor16,1474612109570,1474612169001,43,1,2083.2093023255816,862.0
exp61_sensor15,1474612109550,1474612166990,42,0,2258.4523809523807,NaN
exp61_sensor14,1474612109511,1474612166993,41,1,2030.0975609756097,2692.0
exp61_sensor13,1474612109463,1474612169175,42,0,2130.2380952380954,NaN
exp61_sensor12,1474612109416,1474612166897,40,2,2077.075,3655.0
exp61_sensor11,1474612109394,1474612169038,44,0,2252.3636363636365,NaN
exp61_sensor10,1474612109325,1474612167021,43,1,2049.232558139535,2158.0
exp61_sensor19,1474612109721,1474612166999,42,0,2307.785714285714,NaN
exp61_sensor18,1474612109660,1474612169035,46,0,2022.4347826086957,NaN
