sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp42_sensor12,1474607879015,1474607938553,112,2,802.9821428571429,803.0
exp42_sensor30,1474607879721,1474607939530,105,1,833.2857142857143,2613.0
exp42_sensor11,1474607878979,1474607938937,105,1,855.1047619047619,1200.0
exp42_sensor10,1474607878930,1474607938032,102,2,901.3039215686274,534.5
exp42_sensor6,1474607879778,1474607939718,116,0,782.1724137931035,NaN
exp42_sensor7,1474607879783,1474607939736,107,1,843.7943925233645,1044.0
exp42_sensor8,1474607879806,1474607939642,107,1,859.8504672897196,2165.0
exp42_sensor9,1474607879819,1474607939360,106,2,848.5471698113207,1257.5
exp42_sensor26,1474607879552,1474607939155,108,0,853.1944444444445,NaN
exp42_sensor27,1474607879626,1474607939348,104,0,893.0288461538462,NaN
exp42_sensor24,1474607879484,1474607938670,110,0,842.709090909091,NaN
exp42_sensor25,1474607879504,1474607939151,108,0,847.2592592592592,NaN
exp42_sensor1,1474607878828,1474607938035,108,0,839.4907407407408,NaN
exp42_sensor2,1474607879278,1474607938944,106,0,894.3490566037735,NaN
exp42_sensor3,1474607879706,1474607939659,98,2,934.5612244897959,610.5
exp42_sensor28,1474607879655,1474607938631,100,0,916.68,NaN
exp42_sensor4,1474607879743,1474607939643,108,0,835.7685185185185,NaN
exp42_sensor5,1474607879754,1474607939399,110,0,833.8636363636364,NaN
exp42_sensor29,1474607879676,1474607939380,105,1,856.5428571428571,462.0
exp42_sensor21,1474607879346,1474607938925,108,0,841.3981481481482,NaN
exp42_sensor20,1474607879310,1474607938705,105,1,854.9714285714285,662.0
exp42_sensor23,1474607879412,1474607938682,100,2,858.13,1634.0
exp42_sensor22,1474607879378,1474607938925,103,1,897.5339805825242,1385.0
exp42_sensor13,1474607879054,1474607939033,108,0,870.8518518518518,NaN
exp42_sensor14,1474607879094,1474607937895,111,1,823.3603603603603,613.0
exp42_sensor15,1474607879123,1474607938529,98,2,939.1122448979592,528.5
exp42_sensor16,1474607879155,1474607939021,108,0,852.4166666666666,NaN
exp42_sensor17,1474607879194,1474607938823,104,0,894.7403846153846,NaN
exp42_sensor18,1474607879227,1474607938250,108,0,845.3796296296297,NaN
exp42_sensor19,1474607879243,1474607939200,108,2,840.0555555555555,1326.0
