sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp74_sensor9,1474615374043,1474615432551,41,1,2211.4146341463415,1800.0
exp74_sensor8,1474615374024,1474615432100,38,2,2163.7105263157896,3449.5
exp74_sensor40,1474615373501,1474615429936,38,0,2287.157894736842,NaN
exp74_sensor7,1474615373996,1474615433198,40,2,2152.9,2312.0
exp74_sensor41,1474615373525,1474615432532,38,0,2384.7368421052633,NaN
exp74_sensor42,1474615373548,1474615433116,36,0,2444.4444444444443,NaN
exp74_sensor43,1474615373579,1474615430293,35,1,2609.8571428571427,3024.0
exp74_sensor44,1474615373595,1474615429327,38,0,2448.342105263158,NaN
exp74_sensor2,1474615372580,1474615432447,38,0,2419.3684210526317,NaN
exp74_sensor1,1474615372209,1474615428922,35,1,2643.9142857142856,1931.0
exp74_sensor6,1474615373957,1474615433380,40,0,2343.675,NaN
exp74_sensor5,1474615373704,1474615433469,38,0,2441.2894736842104,NaN
exp74_sensor4,1474615373481,1474615431927,40,0,2326.325,NaN
exp74_sensor3,1474615373264,1474615429343,35,1,2527.657142857143,5153.0
exp74_sensor35,1474615373371,1474615431930,38,0,2459.315789473684,NaN
exp74_sensor34,1474615373350,1474615433030,37,1,2447.9189189189187,3010.0
exp74_sensor37,1474615373407,1474615429061,38,0,2456.842105263158,NaN
exp74_sensor36,1474615373389,1474615430782,37,1,2423.0,2846.0
exp74_sensor39,1474615373468,1474615433202,38,0,2340.157894736842,NaN
exp74_sensor38,1474615373452,1474615433067,40,0,2286.8,NaN
exp74_sensor50,1474615373742,1474615433119,35,1,2624.714285714286,1880.0
exp74_sensor51,1474615373766,1474615433018,36,2,2384.472222222222,2562.0
exp74_sensor54,1474615373854,1474615433385,36,0,2454.527777777778,NaN
exp74_sensor55,1474615373878,1474615431874,36,0,2536.1388888888887,NaN
exp74_sensor52,1474615373806,1474615433797,41,1,2165.8048780487807,1843.0
exp74_sensor53,1474615373821,1474615433601,40,0,2346.675,NaN
exp74_sensor11,1474615372334,1474615431128,35,1,2567.7428571428572,2876.0
exp74_sensor10,1474615372262,1474615431806,40,0,2323.1,NaN
exp74_sensor48,1474615373683,1474615432106,41,1,2199.1463414634145,1884.0
exp74_sensor47,1474615373670,1474615430835,39,1,2260.5128205128203,3215.0
exp74_sensor46,1474615373630,1474615432602,40,0,2280.85,NaN
exp74_sensor45,1474615373613,1474615432551,38,2,2234.0263157894738,3064.5
exp74_sensor49,1474615373687,1474615432115,40,0,2276.575,NaN
exp74_sensor60,1474615373969,1474615433059,38,0,2397.9736842105262,NaN
exp74_sensor20,1474615372597,1474615431115,38,0,2458.1052631578946,NaN
exp74_sensor22,1474615372637,1474615432321,42,0,2279.6428571428573,NaN
exp74_sensor21,1474615372631,1474615427480,36,0,2609.6666666666665,NaN
exp74_sensor16,1474615372460,1474615428968,36,0,2678.972222222222,NaN
exp74_sensor17,1474615372489,1474615431463,37,1,2461.7567567567567,2106.0
exp74_sensor18,1474615372533,1474615432376,41,1,2241.0731707317073,1552.0
exp74_sensor19,1474615372560,1474615432051,38,0,2417.8684210526317,NaN
exp74_sensor12,1474615372370,1474615431141,37,1,2408.0810810810813,3472.0
exp74_sensor13,1474615372394,1474615430640,37,1,2468.324324324324,3161.0
exp74_sensor14,1474615372420,1474615429403,38,0,2441.0,NaN
exp74_sensor15,1474615372437,1474615431887,38,0,2467.184210526316,NaN
exp74_sensor57,1474615373908,1474615433021,38,0,2380.684210526316,NaN
exp74_sensor56,1474615373890,1474615433784,40,0,2284.0,NaN
exp74_sensor59,1474615373926,1474615432450,38,2,2274.5789473684213,2130.5
exp74_sensor58,1474615373917,1474615433537,38,0,2445.0263157894738,NaN
exp74_sensor33,1474615373328,1474615432653,39,1,2292.102564102564,2023.0
exp74_sensor32,1474615373308,1474615430530,35,1,2556.2571428571428,3188.0
exp74_sensor31,1474615373295,1474615428295,37,1,2206.6486486486488,5555.0
exp74_sensor30,1474615373283,1474615428929,38,0,2556.7105263157896,NaN
exp74_sensor29,1474615373248,1474615431351,37,1,2365.2972972972975,1321.0
exp74_sensor27,1474615372786,1474615431917,38,0,2417.842105263158,NaN
exp74_sensor28,1474615373208,1474615430905,39,1,2276.2051282051284,2631.0
exp74_sensor25,1474615372731,1474615428859,38,0,2402.7631578947367,NaN
exp74_sensor26,1474615372763,1474615431389,36,0,2672.6666666666665,NaN
exp74_sensor23,1474615372675,1474615431807,43,1,2144.3953488372094,1659.0
exp74_sensor24,1474615372725,1474615431862,37,1,2541.027027027027,1922.0
