sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp78_sensor2,1474616425628,1474616483896,30,2,2930.0,3022.5
exp78_sensor1,1474616425245,1474616484294,30,0,3270.866666666667,NaN
exp78_sensor6,1474616426767,1474616485258,32,2,2721.59375,2039.0
exp78_sensor39,1474616426221,1474616484544,31,3,2731.2258064516127,3002.0
exp78_sensor5,1474616426569,1474616486149,33,3,2608.242424242424,2501.6666666666665
exp78_sensor38,1474616426164,1474616486149,32,2,2661.9375,2419.5
exp78_sensor4,1474616426254,1474616484514,34,0,2637.8823529411766,NaN
exp78_sensor3,1474616426008,1474616484311,28,0,3487.714285714286,NaN
exp78_sensor9,1474616427083,1474616485550,27,1,3124.6666666666665,2810.0
exp78_sensor8,1474616427061,1474616486804,32,0,2800.0625,NaN
exp78_sensor7,1474616427016,1474616483931,32,2,2690.59375,3036.5
exp78_sensor41,1474616426366,1474616485550,30,0,3230.0333333333333,NaN
exp78_sensor42,1474616426403,1474616484820,30,0,3243.9,NaN
exp78_sensor43,1474616426427,1474616485964,33,1,2831.090909090909,2243.0
exp78_sensor44,1474616426452,1474616484290,30,0,3179.9666666666667,NaN
exp78_sensor45,1474616426486,1474616486476,34,2,2477.1470588235293,3063.5
exp78_sensor46,1474616426506,1474616485716,35,3,2422.8285714285716,2872.6666666666665
exp78_sensor47,1474616426522,1474616485380,31,1,3011.6451612903224,2460.0
exp78_sensor48,1474616426544,1474616486473,32,2,2758.0,2878.0
exp78_sensor40,1474616426327,1474616485606,29,3,2889.448275862069,2790.6666666666665
exp78_sensor11,1474616425346,1474616481206,27,3,3106.5185185185187,2804.6666666666665
exp78_sensor10,1474616425296,1474616484796,32,0,3079.53125,NaN
exp78_sensor49,1474616426557,1474616486288,33,1,2647.848484848485,3996.0
exp78_sensor13,1474616425434,1474616482554,30,0,3202.133333333333,NaN
exp78_sensor12,1474616425391,1474616483650,28,4,2846.464285714286,3431.5
exp78_sensor15,1474616425517,1474616482537,30,2,2918.633333333333,3243.5
exp78_sensor14,1474616425484,1474616484834,30,0,2995.266666666667,NaN
exp78_sensor54,1474616426657,1474616485968,32,4,2516.65625,2818.0
exp78_sensor55,1474616426661,1474616484435,29,3,2833.3793103448274,3706.0
exp78_sensor52,1474616426622,1474616485655,31,3,2712.967741935484,2799.3333333333335
exp78_sensor53,1474616426636,1474616483778,30,0,3185.2,NaN
exp78_sensor58,1474616426722,1474616485742,32,2,2909.90625,2524.0
exp78_sensor59,1474616426754,1474616485889,33,3,2580.5757575757575,2497.0
exp78_sensor56,1474616426671,1474616486501,32,2,2613.15625,5556.0
exp78_sensor57,1474616426681,1474616485596,33,3,2569.878787878788,2647.0
exp78_sensor50,1474616426573,1474616485923,32,0,2799.84375,NaN
exp78_sensor51,1474616426603,1474616486153,30,2,2988.8,3329.5
exp78_sensor26,1474616425884,1474616484744,32,0,2768.90625,NaN
exp78_sensor25,1474616425867,1474616483669,29,3,2837.5172413793102,2928.3333333333335
exp78_sensor24,1474616425825,1474616485713,32,2,2781.40625,3185.0
exp78_sensor23,1474616425768,1474616485677,30,2,3023.266666666667,2314.0
exp78_sensor22,1474616425741,1474616485678,31,1,2807.8709677419356,4806.0
exp78_sensor21,1474616425726,1474616481314,28,0,3245.4285714285716,NaN
exp78_sensor20,1474616425686,1474616481420,31,3,2701.7096774193546,3166.6666666666665
exp78_sensor67,1474616426940,1474616486494,33,1,2738.2727272727275,5348.0
exp78_sensor68,1474616426965,1474616486646,36,2,2410.6111111111113,3034.5
exp78_sensor69,1474616426986,1474616484500,30,2,2845.0333333333333,2928.5
exp78_sensor63,1474616426851,1474616486621,30,0,2943.4333333333334,NaN
exp78_sensor18,1474616425594,1474616482569,31,3,2695.1612903225805,3186.3333333333335
exp78_sensor19,1474616425635,1474616484786,34,2,2631.4411764705883,3038.5
exp78_sensor64,1474616426872,1474616486153,32,0,2971.46875,NaN
exp78_sensor16,1474616425546,1474616485471,31,3,2761.967741935484,2756.6666666666665
exp78_sensor65,1474616426899,1474616486286,34,2,2569.705882352941,1692.5
exp78_sensor17,1474616425552,1474616482546,31,3,2616.548387096774,3521.3333333333335
exp78_sensor66,1474616426919,1474616485681,32,2,2744.53125,3316.0
exp78_sensor60,1474616426790,1474616484809,34,2,2530.205882352941,3168.0
exp78_sensor61,1474616426810,1474616485196,31,3,2638.4193548387098,2796.6666666666665
exp78_sensor62,1474616426822,1474616485711,32,0,3033.0,NaN
exp78_sensor35,1474616426122,1474616485667,32,2,2832.9375,3059.0
exp78_sensor34,1474616426105,1474616485005,33,3,2540.151515151515,2567.3333333333335
exp78_sensor37,1474616426156,1474616483753,31,1,3106.9032258064517,1363.0
exp78_sensor36,1474616426127,1474616485191,31,3,2673.0967741935483,2683.3333333333335
exp78_sensor31,1474616426034,1474616484836,30,0,3269.7,NaN
exp78_sensor30,1474616426022,1474616483870,29,1,3007.4137931034484,1359.0
exp78_sensor33,1474616426080,1474616485373,32,2,2739.4375,3036.0
exp78_sensor32,1474616426048,1474616483850,27,1,3201.8518518518517,1387.0
exp78_sensor27,1474616425928,1474616485523,29,1,3044.1724137931033,10494.0
exp78_sensor28,1474616425955,1474616483851,32,2,2659.0,2927.0
exp78_sensor29,1474616425986,1474616484409,30,0,2895.0,NaN
exp78_sensor70,1474616427038,1474616485259,30,0,3207.233333333333,NaN
