sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp84_sensor67,1474618096646,1474618153215,32,0,2728.625,NaN
exp84_sensor66,1474618096628,1474618153287,35,1,2581.885714285714,2340.0
exp84_sensor69,1474618096669,1474618155855,34,0,2775.0588235294117,NaN
exp84_sensor68,1474618096655,1474618155325,34,0,2764.5882352941176,NaN
exp84_sensor26,1474618095774,1474618153284,32,0,2836.0,NaN
exp84_sensor27,1474618095799,1474618154340,36,0,2486.3055555555557,NaN
exp84_sensor28,1474618095823,1474618155793,35,1,2585.5142857142855,3990.0
exp84_sensor29,1474618095837,1474618155371,36,0,2586.0555555555557,NaN
exp84_sensor22,1474618095674,1474618155646,39,1,2273.897435897436,4535.0
exp84_sensor23,1474618095686,1474618153225,36,0,2564.222222222222,NaN
exp84_sensor24,1474618095705,1474618153283,34,0,2775.764705882353,NaN
exp84_sensor25,1474618095758,1474618153248,32,0,2770.15625,NaN
exp84_sensor30,1474618095882,1474618153769,32,0,2840.59375,NaN
exp84_sensor32,1474618095904,1474618155616,36,0,2592.6944444444443,NaN
exp84_sensor31,1474618095890,1474618155578,36,0,2580.6111111111113,NaN
exp84_sensor70,1474618096702,1474618153239,36,0,2535.1111111111113,NaN
exp84_sensor7,1474618096691,1474618155607,36,0,2541.1388888888887,NaN
exp84_sensor6,1474618096502,1474618154672,31,1,2943.5806451612902,2369.0
exp84_sensor5,1474618096355,1474618155611,36,0,2495.027777777778,NaN
exp84_sensor59,1474618096499,1474618155620,35,1,2529.4857142857145,1401.0
exp84_sensor4,1474618096145,1474618155392,38,0,2438.4210526315787,NaN
exp84_sensor58,1474618096484,1474618153215,32,0,2821.34375,NaN
exp84_sensor3,1474618095859,1474618155286,32,2,2605.625,4690.0
exp84_sensor2,1474618095586,1474618153331,34,0,2672.4117647058824,NaN
exp84_sensor57,1474618096452,1474618154283,34,0,2633.176470588235,NaN
exp84_sensor56,1474618096441,1474618153252,34,0,2691.0882352941176,NaN
exp84_sensor1,1474618095218,1474618153248,36,0,2626.1111111111113,NaN
exp84_sensor19,1474618095558,1474618153245,34,0,2683.529411764706,NaN
exp84_sensor55,1474618096429,1474618155582,33,1,2695.151515151515,4551.0
exp84_sensor17,1474618095512,1474618155488,37,1,2405.162162162162,3549.0
exp84_sensor18,1474618095542,1474618154887,34,0,2748.705882352941,NaN
exp84_sensor15,1474618095476,1474618154938,35,1,2576.0857142857144,1785.0
exp84_sensor16,1474618095504,1474618154623,35,1,2665.9142857142856,1504.0
exp84_sensor13,1474618095438,1474618153775,32,0,2860.90625,NaN
exp84_sensor14,1474618095466,1474618154341,38,0,2426.0526315789475,NaN
exp84_sensor11,1474618095350,1474618154333,33,1,2728.5454545454545,3587.0
exp84_sensor9,1474618096716,1474618155408,38,0,2418.1315789473683,NaN
exp84_sensor8,1474618096710,1474618154911,38,0,2373.5,NaN
exp84_sensor12,1474618095407,1474618153770,32,2,2651.03125,2603.0
exp84_sensor21,1474618095639,1474618155164,36,0,2534.5833333333335,NaN
exp84_sensor20,1474618095600,1474618155324,34,0,2638.705882352941,NaN
exp84_sensor64,1474618096594,1474618155587,36,0,2428.8055555555557,NaN
exp84_sensor65,1474618096609,1474618155657,35,1,2680.542857142857,1387.0
exp84_sensor62,1474618096565,1474618153275,34,0,2713.5588235294117,NaN
exp84_sensor63,1474618096583,1474618155587,36,0,2590.9166666666665,NaN
exp84_sensor60,1474618096524,1474618156440,32,0,2852.375,NaN
exp84_sensor61,1474618096542,1474618155486,32,0,2959.3125,NaN
exp84_sensor44,1474618096262,1474618155593,33,1,2713.6060606060605,4569.0
exp84_sensor45,1474618096284,1474618156220,34,0,2651.735294117647,NaN
exp84_sensor46,1474618096304,1474618156275,38,0,2369.842105263158,NaN
exp84_sensor47,1474618096310,1474618155307,36,0,2565.5555555555557,NaN
exp84_sensor48,1474618096323,1474618153289,33,1,2756.939393939394,1650.0
exp84_sensor49,1474618096344,1474618154679,37,1,2415.945945945946,3541.0
exp84_sensor10,1474618095254,1474618153290,33,1,2661.2727272727275,5713.0
exp84_sensor50,1474618096367,1474618155613,35,1,2530.0285714285715,2353.0
exp84_sensor52,1474618096381,1474618154319,33,1,2644.151515151515,4195.0
exp84_sensor51,1474618096378,1474618156079,34,0,2565.970588235294,NaN
exp84_sensor54,1474618096410,1474618155610,33,1,2732.6363636363635,4600.0
exp84_sensor53,1474618096401,1474618155473,33,1,2660.3939393939395,2302.0
exp84_sensor35,1474618095961,1474618155308,34,0,2797.529411764706,NaN
exp84_sensor36,1474618095978,1474618154678,39,1,2162.076923076923,4661.0
exp84_sensor33,1474618095927,1474618155614,35,1,2556.657142857143,2158.0
exp84_sensor34,1474618095942,1474618153250,35,1,2562.0,3326.0
exp84_sensor39,1474618096052,1474618153242,32,0,2872.0625,NaN
exp84_sensor37,1474618095998,1474618155982,38,0,2473.157894736842,NaN
exp84_sensor38,1474618096023,1474618153820,34,0,2618.029411764706,NaN
exp84_sensor43,1474618096241,1474618156066,38,0,2535.9736842105262,NaN
exp84_sensor42,1474618096214,1474618153284,34,2,2602.1470588235293,1861.5
exp84_sensor41,1474618096182,1474618155332,37,1,2419.837837837838,1552.0
exp84_sensor40,1474618096159,1474618154270,33,1,2690.4848484848485,2313.0
